config,status,total,prefill,decode,gpgpu_l1_latency,gpgpu_smem_latency,gpgpu_n_mem,gpgpu_l2_rop_latency,dram_latency,gpgpu_kernel_launch_latency,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24
H100-SASS,ok,170004,89514,80490,41,29,40,237,194,3000,5567,7148,5788,4910,15021,3348,6695,5571,14706,5781,10684,4295,5714,7119,5383,4513,10461,3348,6884,5321,12412,5768,9364,4203
H100-SASS-DRAMLAT2X,ok,180895,99091,81804,41,29,40,237,388,3000,5950,8038,6176,5104,16152,3348,6841,5768,18659,5777,12981,4297,5906,7521,5571,4511,10653,3348,7045,5317,12443,5768,9518,4203
H100-SASS-DRAMLATHALF,ok,167645,87694,79951,41,29,40,237,97,3000,5462,7050,5592,4813,14434,3348,6520,5505,14368,5785,10520,4297,5566,7009,5281,4513,10363,3348,6862,5321,12432,5768,9286,4202
H100-SASS-L1LAT2X,ok,172654,90938,81716,82,29,40,237,194,3000,5691,7149,5951,5074,15328,3389,6692,5691,15104,5893,10557,4419,5831,7110,5549,4675,10925,3389,6884,5440,12343,5878,9366,4326
H100-SASS-L2LAT2X,ok,188927,99081,89846,41,29,40,474,194,3000,6279,7795,6734,5858,16799,3585,7077,6280,15947,6249,11472,5006,6377,7800,6338,5460,12028,3585,7282,6028,13750,6254,10030,4914
H100-SASS-LAUNCH0,ok,98186,53580,44606,41,29,40,237,194,0,2586,4147,2787,1910,11999,348,3694,2571,11652,2772,7817,1297,2704,4118,2380,1512,7460,348,3876,2321,9593,2770,6321,1203
H100-SASS-LAUNCH1500,ok,133904,71404,62500,41,29,40,237,194,1500,4066,5648,4286,3410,13505,1848,5194,4071,13265,4272,9043,2796,4210,5613,3890,3011,8972,1848,5428,3821,10910,4268,7826,2703
H100-SASS-SMEMLAT2X,ok,173250,90992,82258,41,58,40,237,194,3000,5595,7621,5788,4910,15163,3348,7276,5601,14742,5775,10878,4295,5742,7556,5381,4512,10676,3348,7389,5349,12508,5765,9829,4203
H200-SASS,ok,165618,86835,78783,41,29,48,237,194,3000,5584,7146,5786,4909,15029,3348,6697,5599,13292,5786,9365,4294,5716,7037,5383,4512,10264,3348,6844,5333,11583,5787,8772,4204
